Graph,Input A,Input B,Output,FLOPs per occurrence,Occurrences
diffusion_step_fp16.onnx,"[1, 46, 768]","[768, 3072]","[1, 46, 3072]",217055232,24
diffusion_step_fp16.onnx,"[1, 46, 768]","[768, 1536]","[1, 46, 1536]",108527616,28
diffusion_step_fp16.onnx,"[1, 46, 1536]","[1536, 768]","[1, 46, 768]",108527616,26
diffusion_step_fp16.onnx,"[1, 352, 128]","[128, 768]","[1, 352, 768]",69206016,1
diffusion_step_fp16.onnx,"[1, 46, 768]","[768, 768]","[1, 46, 768]",54263808,266
diffusion_step_fp16.onnx,"[11, 128, 128]","[128, 128]","[11, 128, 128]",46137344,12
diffusion_step_fp16.onnx,"[11, 32, 128]","[128, 512]","[11, 32, 512]",46137344,6
diffusion_step_fp16.onnx,"[1, 46, 352]","[1, 352, 768]","[1, 46, 768]",24870912,1
diffusion_step_fp16.onnx,"[11, 32, 128]","[128, 256]","[11, 32, 256]",23068672,6
diffusion_step_fp16.onnx,"[11, 32, 256]","[256, 128]","[11, 32, 128]",23068672,6
diffusion_step_fp16.onnx,"[11, 32, 128]","[128, 128]","[11, 32, 128]",11534336,54
diffusion_step_fp16.onnx,"[1, 46, 768]","[768, 128]","[1, 46, 128]",9043968,1
diffusion_step_fp16.onnx,"[1, 352, 46]","[1, 46, 128]","[1, 352, 128]",4145152,1
diffusion_step_fp16.onnx,"[1, 352, 3]","[3, 128]","[1, 352, 128]",270336,1
diffusion_step_fp16.onnx,"[1, 352, 128]","[128, 3]","[1, 352, 3]",270336,1
