Graph,Node Index,Operator,Tensor Shapes,Estimated FLOPs
diffusion_step_fp16.onnx,25,MatMul,"inputs=[1, 352, 3], [3, 128] -> outputs=[1, 352, 128]",270336
diffusion_step_fp16.onnx,42,Einsum,"inputs=[1, 22, 16, 1], [22, 88] -> outputs=[1, 88, 16, 1]",61952
diffusion_step_fp16.onnx,52,MatMul,"inputs=[11, 32, 128], [128, 128] -> outputs=[11, 32, 128]",11534336
diffusion_step_fp16.onnx,55,MatMul,"inputs=[11, 32, 128], [128, 128] -> outputs=[11, 32, 128]",11534336
diffusion_step_fp16.onnx,63,MatMul,"inputs=[11, 32, 128], [128, 128] -> outputs=[11, 32, 128]",11534336
diffusion_step_fp16.onnx,66,MatMul,"inputs=[11, 32, 128], [128, 128] -> outputs=[11, 32, 128]",11534336
diffusion_step_fp16.onnx,74,MatMul,"inputs=[11, 32, 128], [128, 128] -> outputs=[11, 32, 128]",11534336
diffusion_step_fp16.onnx,77,MatMul,"inputs=[11, 32, 128], [128, 128] -> outputs=[11, 32, 128]",11534336
diffusion_step_fp16.onnx,224,Einsum,"inputs=[1, 22, 16, 1], [22, 88] -> outputs=[1, 88, 16, 1]",61952
diffusion_step_fp16.onnx,234,MatMul,"inputs=[11, 32, 128], [128, 128] -> outputs=[11, 32, 128]",11534336
diffusion_step_fp16.onnx,237,MatMul,"inputs=[11, 32, 128], [128, 128] -> outputs=[11, 32, 128]",11534336
diffusion_step_fp16.onnx,245,MatMul,"inputs=[11, 32, 128], [128, 128] -> outputs=[11, 32, 128]",11534336
diffusion_step_fp16.onnx,248,MatMul,"inputs=[11, 32, 128], [128, 128] -> outputs=[11, 32, 128]",11534336
diffusion_step_fp16.onnx,256,MatMul,"inputs=[11, 32, 128], [128, 128] -> outputs=[11, 32, 128]",11534336
diffusion_step_fp16.onnx,259,MatMul,"inputs=[11, 32, 128], [128, 128] -> outputs=[11, 32, 128]",11534336
diffusion_step_fp16.onnx,272,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,287,MatMul,"inputs=[1, 46, 768], [768, 1536] -> outputs=[1, 46, 1536]",108527616
diffusion_step_fp16.onnx,290,MatMul,"inputs=[1, 46, 768], [768, 1536] -> outputs=[1, 46, 1536]",108527616
diffusion_step_fp16.onnx,292,MatMul,"inputs=[1, 46, 1536], [1536, 768] -> outputs=[1, 46, 768]",108527616
diffusion_step_fp16.onnx,299,MatMul,"inputs=[1, 46, 768], [768, 1536] -> outputs=[1, 46, 1536]",108527616
diffusion_step_fp16.onnx,302,MatMul,"inputs=[1, 46, 768], [768, 1536] -> outputs=[1, 46, 1536]",108527616
diffusion_step_fp16.onnx,304,MatMul,"inputs=[1, 46, 1536], [1536, 768] -> outputs=[1, 46, 768]",108527616
diffusion_step_fp16.onnx,306,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,309,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,312,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,315,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,318,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,321,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,324,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,327,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,330,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,333,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,336,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,339,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,342,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,345,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,348,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,351,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,354,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,357,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,360,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,363,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,366,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,369,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,372,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,375,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,378,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
