Graph,Input A,Input B,Output,FLOPs per occurrence,Occurrences
trunk_fp16.onnx,"[46, 4, 46, 32]","[46, 4, 32, 46]","[46, 4, 46, 46]",4584914944,140
trunk_fp16.onnx,"[46, 4, 46, 46]","[46, 4, 46, 32]","[46, 4, 46, 32]",4584914944,140
trunk_fp16.onnx,"[1, 46, 46, 1024]","[1024, 128]","[1, 46, 46, 128]",554696704,4
trunk_fp16.onnx,"[1, 46, 46, 128]","[128, 512]","[1, 46, 46, 512]",277348352,136
trunk_fp16.onnx,"[1, 46, 46, 512]","[512, 128]","[1, 46, 46, 128]",277348352,68
trunk_fp16.onnx,"[1, 46, 46, 128]","[128, 256]","[1, 46, 46, 256]",138674176,276
trunk_fp16.onnx,"[1, 46, 46, 256]","[256, 128]","[1, 46, 46, 128]",138674176,3
trunk_fp16.onnx,"[1, 46, 46, 139]","[139, 128]","[1, 46, 46, 128]",75295744,1
trunk_fp16.onnx,"[1, 46, 46, 132]","[132, 128]","[1, 46, 46, 128]",71503872,1
trunk_fp16.onnx,"[1, 46, 46, 128]","[128, 128]","[1, 46, 46, 128]",69337088,273
trunk_fp16.onnx,"[1, 46, 46, 64]","[64, 256]","[1, 46, 46, 256]",69337088,4
trunk_fp16.onnx,"[1, 46, 46, 256]","[256, 64]","[1, 46, 46, 64]",69337088,2
trunk_fp16.onnx,"[46, 46, 128]","[128, 128]","[46, 46, 128]",69337088,680
trunk_fp16.onnx,"[1, 46, 384]","[384, 1536]","[1, 46, 1536]",54263808,128
trunk_fp16.onnx,"[1, 46, 1536]","[1536, 384]","[1, 46, 384]",54263808,64
trunk_fp16.onnx,"[11, 128, 128]","[128, 128]","[11, 128, 128]",46137344,6
trunk_fp16.onnx,"[11, 32, 128]","[128, 512]","[11, 32, 512]",46137344,3
trunk_fp16.onnx,"[1, 352, 388]","[388, 128]","[1, 352, 128]",34963456,2
trunk_fp16.onnx,"[1, 1, 46, 46, 128]","[128, 64]","[1, 1, 46, 46, 64]",34668544,1
trunk_fp16.onnx,"[1, 46, 46, 64]","[64, 128]","[1, 46, 46, 128]",34668544,9
trunk_fp16.onnx,"[46, 46, 64]","[64, 128]","[46, 46, 128]",34668544,16
trunk_fp16.onnx,"[46, 46, 128]","[128, 64]","[46, 46, 64]",34668544,4
trunk_fp16.onnx,"[1, 46, 46, 128]","[128, 64]","[1, 46, 46, 64]",34668544,1
trunk_fp16.onnx,"[1, 352, 128]","[128, 384]","[1, 352, 384]",34603008,1
trunk_fp16.onnx,"[1, 1, 46, 46, 109]","[109, 64]","[1, 1, 46, 46, 64]",29522432,1
trunk_fp16.onnx,"[1, 11, 32, 128, 16]","[16, 16]","[1, 11, 32, 128, 16]",23068672,6
trunk_fp16.onnx,"[11, 32, 128]","[128, 256]","[11, 32, 256]",23068672,3
trunk_fp16.onnx,"[11, 32, 256]","[256, 128]","[11, 32, 128]",23068672,3
trunk_fp16.onnx,"[1, 46, 46, 64]","[64, 64]","[1, 46, 46, 64]",17334272,8
trunk_fp16.onnx,"[1, 11, 32, 128, 16]","[16, 12]","[1, 11, 32, 128, 12]",17301504,1
trunk_fp16.onnx,"[1, 46, 384]","[384, 384]","[1, 46, 384]",13565952,322
trunk_fp16.onnx,"[1, 46, 352]","[1, 352, 384]","[1, 46, 384]",12435456,1
trunk_fp16.onnx,"[11, 32, 128]","[128, 128]","[11, 32, 128]",11534336,27
