Graph,Node Index,Operator,Tensor Shapes,Estimated FLOPs
trunk_fp16.onnx,8,MatMul,"inputs=[1, 352, 388], [388, 128] -> outputs=[1, 352, 128]",34963456
trunk_fp16.onnx,12,Einsum,"inputs=[1, 22, 16, 3], [22, 88] -> outputs=[1, 88, 16, 3]",185856
trunk_fp16.onnx,23,Einsum,"inputs=[1, 22, 16, 1], [22, 88] -> outputs=[1, 88, 16, 1]",61952
trunk_fp16.onnx,30,Einsum,"inputs=[1, 22, 16, 1], [22, 88] -> outputs=[1, 88, 16, 1]",61952
trunk_fp16.onnx,38,MatMul,"inputs=[1, 11, 32, 128, 3], [3, 16] -> outputs=[1, 11, 32, 128, 16]",4325376
trunk_fp16.onnx,40,MatMul,"inputs=[1, 11, 32, 128, 1], [1, 16] -> outputs=[1, 11, 32, 128, 16]",1441792
trunk_fp16.onnx,43,MatMul,"inputs=[1, 11, 32, 128, 1], [1, 16] -> outputs=[1, 11, 32, 128, 16]",1441792
trunk_fp16.onnx,48,MatMul,"inputs=[1, 11, 32, 1, 128], [128, 16] -> outputs=[1, 11, 32, 1, 16]",1441792
trunk_fp16.onnx,51,Einsum,"inputs=[1, 22, 16, 128], [22, 88] -> outputs=[1, 88, 16, 128]",7929856
trunk_fp16.onnx,54,MatMul,"inputs=[1, 11, 1, 128, 128], [128, 16] -> outputs=[1, 11, 1, 128, 16]",5767168
trunk_fp16.onnx,57,MatMul,"inputs=[1, 11, 32, 128, 16], [16, 16] -> outputs=[1, 11, 32, 128, 16]",23068672
trunk_fp16.onnx,59,MatMul,"inputs=[1, 11, 32, 128, 16], [16, 16] -> outputs=[1, 11, 32, 128, 16]",23068672
trunk_fp16.onnx,61,MatMul,"inputs=[1, 11, 32, 128, 16], [16, 16] -> outputs=[1, 11, 32, 128, 16]",23068672
trunk_fp16.onnx,73,Einsum,"inputs=[1, 22, 16, 1], [22, 88] -> outputs=[1, 88, 16, 1]",61952
trunk_fp16.onnx,79,MatMul,"inputs=[11, 32, 128], [128, 128] -> outputs=[11, 32, 128]",11534336
trunk_fp16.onnx,82,MatMul,"inputs=[11, 32, 128], [128, 128] -> outputs=[11, 32, 128]",11534336
trunk_fp16.onnx,85,MatMul,"inputs=[11, 32, 128], [128, 128] -> outputs=[11, 32, 128]",11534336
trunk_fp16.onnx,88,MatMul,"inputs=[11, 32, 128], [128, 128] -> outputs=[11, 32, 128]",11534336
trunk_fp16.onnx,91,MatMul,"inputs=[11, 32, 128], [128, 128] -> outputs=[11, 32, 128]",11534336
trunk_fp16.onnx,94,MatMul,"inputs=[11, 32, 128], [128, 128] -> outputs=[11, 32, 128]",11534336
trunk_fp16.onnx,105,MatMul,"inputs=[1, 46, 33], [33, 384] -> outputs=[1, 46, 384]",1165824
trunk_fp16.onnx,107,MatMul,"inputs=[1, 46, 34], [34, 384] -> outputs=[1, 46, 384]",1201152
trunk_fp16.onnx,112,MatMul,"inputs=[1, 46, 1], [1, 384] -> outputs=[1, 46, 384]",35328
trunk_fp16.onnx,156,MatMul,"inputs=[1, 46, 46, 139], [139, 128] -> outputs=[1, 46, 46, 128]",75295744
